run,array_type,size,algorithm,time_us,char_comparisons,seed
1,"reverse_sorted",1100,"QuickSort",122,136993,20260524
1,"reverse_sorted",1100,"MergeSort",366,9298,20260524
1,"reverse_sorted",1100,"StringQuickSort",28,9610,20260524
1,"reverse_sorted",1100,"StringMergeSort",627,4272,20260524
1,"reverse_sorted",1100,"MSDRadixSort",190,2656,20260524
1,"reverse_sorted",1100,"MSDRadixQuickSort",90,5894,20260524
1,"reverse_sorted",1200,"QuickSort",141,157831,20260524
1,"reverse_sorted",1200,"MergeSort",372,10434,20260524
1,"reverse_sorted",1200,"StringQuickSort",27,10461,20260524
1,"reverse_sorted",1200,"StringMergeSort",681,4725,20260524
1,"reverse_sorted",1200,"MSDRadixSort",213,2907,20260524
1,"reverse_sorted",1200,"MSDRadixQuickSort",92,6456,20260524
1,"reverse_sorted",1300,"QuickSort",162,184408,20260524
1,"reverse_sorted",1300,"MergeSort",443,11482,20260524
1,"reverse_sorted",1300,"StringQuickSort",32,11476,20260524
1,"reverse_sorted",1300,"StringMergeSort",739,5200,20260524
1,"reverse_sorted",1300,"MSDRadixSort",233,3146,20260524
1,"reverse_sorted",1300,"MSDRadixQuickSort",100,6980,20260524
1,"reverse_sorted",1400,"QuickSort",186,205026,20260524
1,"reverse_sorted",1400,"MergeSort",483,12482,20260524
1,"reverse_sorted",1400,"StringQuickSort",34,12637,20260524
1,"reverse_sorted",1400,"StringMergeSort",821,5616,20260524
1,"reverse_sorted",1400,"MSDRadixSort",254,3396,20260524
1,"reverse_sorted",1400,"MSDRadixQuickSort",109,7566,20260524
1,"reverse_sorted",1500,"QuickSort",207,225514,20260524
1,"reverse_sorted",1500,"MergeSort",492,13335,20260524
1,"reverse_sorted",1500,"StringQuickSort",36,13567,20260524
1,"reverse_sorted",1500,"StringMergeSort",899,5954,20260524
1,"reverse_sorted",1500,"MSDRadixSort",266,3638,20260524
1,"reverse_sorted",1500,"MSDRadixQuickSort",119,8084,20260524
1,"reverse_sorted",1600,"QuickSort",209,233574,20260524
1,"reverse_sorted",1600,"MergeSort",535,14328,20260524
1,"reverse_sorted",1600,"StringQuickSort",40,14750,20260524
1,"reverse_sorted",1600,"StringMergeSort",949,6417,20260524
1,"reverse_sorted",1600,"MSDRadixSort",285,3881,20260524
1,"reverse_sorted",1600,"MSDRadixQuickSort",128,8653,20260524
1,"reverse_sorted",1700,"QuickSort",209,234360,20260524
1,"reverse_sorted",1700,"MergeSort",567,15184,20260524
1,"reverse_sorted",1700,"StringQuickSort",42,15799,20260524
1,"reverse_sorted",1700,"StringMergeSort",1006,6702,20260524
1,"reverse_sorted",1700,"MSDRadixSort",303,4131,20260524
1,"reverse_sorted",1700,"MSDRadixQuickSort",142,9195,20260524
1,"reverse_sorted",1800,"QuickSort",210,233853,20260524
1,"reverse_sorted",1800,"MergeSort",647,15999,20260524
1,"reverse_sorted",1800,"StringQuickSort",47,16834,20260524
1,"reverse_sorted",1800,"StringMergeSort",1082,7068,20260524
1,"reverse_sorted",1800,"MSDRadixSort",319,4372,20260524
1,"reverse_sorted",1800,"MSDRadixQuickSort",146,9720,20260524
1,"reverse_sorted",1900,"QuickSort",213,234372,20260524
1,"reverse_sorted",1900,"MergeSort",642,16791,20260524
1,"reverse_sorted",1900,"StringQuickSort",48,17964,20260524
1,"reverse_sorted",1900,"StringMergeSort",1108,7367,20260524
1,"reverse_sorted",1900,"MSDRadixSort",339,4622,20260524
1,"reverse_sorted",1900,"MSDRadixQuickSort",154,10263,20260524
1,"reverse_sorted",2000,"QuickSort",216,241635,20260524
1,"reverse_sorted",2000,"MergeSort",682,17540,20260524
1,"reverse_sorted",2000,"StringQuickSort",50,18954,20260524
1,"reverse_sorted",2000,"StringMergeSort",1188,7739,20260524
1,"reverse_sorted",2000,"MSDRadixSort",381,4858,20260524
