array_type,size,algorithm,mean_time_us,mean_char_comparisons,runs,seed
"nearly_sorted",2200,"MSDRadixSort",383.900,5309.300,10,20260524
"nearly_sorted",2200,"MergeSort",860.700,27957.800,10,20260524
"nearly_sorted",2200,"QuickSort",359.900,330187.800,10,20260524
"nearly_sorted",2200,"StringMergeSort",1375.900,10681.700,10,20260524
"nearly_sorted",2200,"StringQuickSort",73.300,21859.100,10,20260524
"nearly_sorted",2300,"MSDRadixQuickSort",197.800,12655.300,10,20260524
"nearly_sorted",2300,"MSDRadixSort",402.300,5558.700,10,20260524
"nearly_sorted",2300,"MergeSort",911.200,29349.700,10,20260524
"nearly_sorted",2300,"QuickSort",378.600,345619.300,10,20260524
"nearly_sorted",2300,"StringMergeSort",1450.900,11235.700,10,20260524
"nearly_sorted",2300,"StringQuickSort",77.700,23013.100,10,20260524
"nearly_sorted",2400,"MSDRadixQuickSort",206.800,13252.200,10,20260524
"nearly_sorted",2400,"MSDRadixSort",416.000,5802.500,10,20260524
"nearly_sorted",2400,"MergeSort",968.500,30742.700,10,20260524
"nearly_sorted",2400,"QuickSort",391.400,362333.300,10,20260524
"nearly_sorted",2400,"StringMergeSort",1510.100,11828.200,10,20260524
"nearly_sorted",2400,"StringQuickSort",81.300,24116.800,10,20260524
"nearly_sorted",2500,"MSDRadixQuickSort",212.500,13841.600,10,20260524
"nearly_sorted",2500,"MSDRadixSort",428.700,6050.500,10,20260524
"nearly_sorted",2500,"MergeSort",1014.300,32105.900,10,20260524
"nearly_sorted",2500,"QuickSort",409.400,376152.200,10,20260524
"nearly_sorted",2500,"StringMergeSort",1596.300,12311.500,10,20260524
"nearly_sorted",2500,"StringQuickSort",84.200,25450.000,10,20260524
"nearly_sorted",2600,"MSDRadixQuickSort",220.100,14462.200,10,20260524
"nearly_sorted",2600,"MSDRadixSort",454.200,6293.800,10,20260524
"nearly_sorted",2600,"MergeSort",1054.500,33559.800,10,20260524
"nearly_sorted",2600,"QuickSort",428.300,390792.800,10,20260524
"nearly_sorted",2600,"StringMergeSort",1676.200,12919.600,10,20260524
"nearly_sorted",2600,"StringQuickSort",86.100,26577.800,10,20260524
"nearly_sorted",2700,"MSDRadixQuickSort",232.400,15076.700,10,20260524
"nearly_sorted",2700,"MSDRadixSort",471.800,6541.900,10,20260524
"nearly_sorted",2700,"MergeSort",1107.000,34979.400,10,20260524
"nearly_sorted",2700,"QuickSort",441.800,409557.600,10,20260524
"nearly_sorted",2700,"StringMergeSort",1759.300,13515.700,10,20260524
"nearly_sorted",2700,"StringQuickSort",91.500,27466.000,10,20260524
"nearly_sorted",2800,"MSDRadixQuickSort",240.100,15693.600,10,20260524
"nearly_sorted",2800,"MSDRadixSort",493.700,6792.800,10,20260524
"nearly_sorted",2800,"MergeSort",1149.200,36370.000,10,20260524
"nearly_sorted",2800,"QuickSort",463.900,429104.400,10,20260524
"nearly_sorted",2800,"StringMergeSort",1860.100,14102.600,10,20260524
"nearly_sorted",2800,"StringQuickSort",93.900,28545.500,10,20260524
"nearly_sorted",2900,"MSDRadixQuickSort",254.000,16284.700,10,20260524
"nearly_sorted",2900,"MSDRadixSort",514.500,7040.000,10,20260524
"nearly_sorted",2900,"MergeSort",1210.400,37916.800,10,20260524
"nearly_sorted",2900,"QuickSort",487.700,447844.200,10,20260524
"nearly_sorted",2900,"StringMergeSort",1954.900,14768.800,10,20260524
"nearly_sorted",2900,"StringQuickSort",101.100,29748.400,10,20260524
"nearly_sorted",3000,"MSDRadixQuickSort",255.400,16909.700,10,20260524
"nearly_sorted",3000,"MSDRadixSort",517.000,7282.600,10,20260524
"nearly_sorted",3000,"MergeSort",1249.500,39336.400,10,20260524
"nearly_sorted",3000,"QuickSort",431.100,435914.400,10,20260524
"nearly_sorted",3000,"StringMergeSort",2010.200,15432.700,10,20260524
